event_id,name,url,start_time,start_date,end_time,end_date,duration,venue_name,venue_address,city,longitude,latitude,summary,is_online_event,tickets_url,tags,categoria,data_source,image,age_range,min_age,max_age,interior
12754392,A taste of the moon,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=baceaa4735436910VgnVCM1000001d4a900aRCRD,18:00,2025-05-08,,2025-05-08,,Biblioteca Pública Municipal Vicálvaro,CALLE VILLARDONDIEGO 36,Madrid,-3.60862782329228,40.40528365074432,"Vamos a leer en inglés y a divertirnos en la biblioteca. Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.    Este cuento está pensado para niñas y niños a partir de 2 años. Para asistir es necesaria la inscripción a través de este  enlace .   La biblioteca se pondrá en contacto contigo para confirmar tu asistencia. Recuerda que los niños y niñas deberán ir acompañados por una persona adulta.   Te esperamos en la biblioteca para pasar un buen rato lleno de fantasía, de la mano de Mamen Storyteller.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=baceaa4735436910VgnVCM1000001d4a900aRCRD,Niños,Ocio,ayuntamiento madrid,,+2,2.0,14.0,False
12754420,A taste of the moon,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=edd0528353436910VgnVCM2000001f4a900aRCRD,17:30,2025-05-22,,2025-05-22,,Biblioteca Pública Municipal Pablo Neruda (Ciudad Lineal),CALLE ASCAO 4,Madrid,-3.6416899839787695,40.42941133441142,"Vamos a leer en inglés y a divertirnos en la biblioteca. Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.    Este cuento está pensado para niñas y niños a partir de 2 años. Para asistir es necesaria la inscripción a través de este  enlace .   La biblioteca se pondrá en contacto contigo para confirmar tu asistencia. Recuerda que los niños y niñas deberán ir acompañados por una persona adulta.   Te esperamos en la biblioteca para pasar un buen rato lleno de fantasía, de la mano de Mamen Storyteller.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=edd0528353436910VgnVCM2000001f4a900aRCRD,Niños,Ocio,ayuntamiento madrid,,+2,2.0,14.0,False
12761381,Acercándonos al circo: taller iniciación al circo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e33fde091cb66910VgnVCM1000001d4a900aRCRD,18:00,2025-05-23,,2025-05-23,,Centro Sociocultural Blasco Ibáñez (Carabanchel),CALLE SOLDADO JOSE MARIA REY 44,Madrid,-3.732763402514225,40.39496102590205,¡Diviértete aprendiendo mientras descubres todo lo que eres capaz de hacer!Probarás las técnicas que hacen del circo el mayor espectáculo del mundo de la mano de la profesora de la compañía La Tortuga Veloz.  Edad recomendada: A partir de 4 años.  Duración: 90 minutos.  Plazas: 20 personas.  Para participar en las actividades hay que reservar plaza en el telf.: 914 280 554 o presencialmente en el centro cultural.,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e33fde091cb66910VgnVCM1000001d4a900aRCRD,"Niños,Familias",Educación,ayuntamiento madrid,,+4,4.0,14.0,False
12757237,Aventuras de piratas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3c9744afff756910VgnVCM2000001f4a900aRCRD,12:00,2025-05-11,,2025-05-11,,Centro Cultural Ciudad Pegaso (San Blas - Canillejas),AVENIDA SEPTIMA 11,Madrid,-3.598099871155595,40.44844757572015,"Compañía: Producciones Garrote   Edad recomendada a partir de 3 años  Bocachancla, una pirata audaz, capitana de la Jeta Rosa y con gran dominio de su sable, ha sido convocada en la Isla Rey Pirata por la Corte de la Hermandad. A su llegada, se encuentra con el gracioso Ojiloco, pirata intrépido, capitán del Iris Escarlata y con gran dominio de magia de fuego. Al parecer él también ha sido convocado por la Corte de la Hermandad. Ambos, junto a sus inseparables mascotas y ayudantes marineros, Moto Moto y Coco, desconocen por qué han sido llamados y cuál es la misión que les espera",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3c9744afff756910VgnVCM2000001f4a900aRCRD,Niños,Ocio,ayuntamiento madrid,,+3,3.0,14.0,False
12765710,Cabaret ovejuno,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e4ee234abc586910VgnVCM1000001d4a900aRCRD,18:00,2025-05-04,,2025-05-04,,Centro Cultural Carril del Conde (Hortaleza),CALLE CARRIL DEL CONDE 57,Madrid,-3.654366821391548,40.46089499555313,"Vidas de Alambre. A partir de 3 años. Estrellas del Rock, del Pop, de la canción francesa y de ritmos caribeños componen este peculiar rebaño que decidió cambiar los verdes pastos por el mundo de los escenarios. Con sus dispares personalidades, estas ovejas harán mover el esqueleto a pequeños y grandes al ritmo de una selección de las canciones que forman parte de nuestra vida, y de nuestra memoria.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e4ee234abc586910VgnVCM1000001d4a900aRCRD,"Niños,Familias",Ocio,ayuntamiento madrid,,+3,3.0,14.0,False
12752215,Campamento del Price (11 y 12 años),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=42dc68a247f16910VgnVCM1000001d4a900aRCRD,,2025-06-23,,2025-07-18,,Teatro Circo Price,RONDA ATOCHA 35,Madrid,-3.698589986849812,40.40596936645757,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=42dc68a247f16910VgnVCM1000001d4a900aRCRD,"Niños,Familias",Ocio,ayuntamiento madrid,,11-12,11.0,12.0,False
12752167,Campamento del Price (7 y 8 años),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2bd7c6d055f16910VgnVCM1000001d4a900aRCRD,,2025-06-23,,2025-07-18,,Teatro Circo Price,RONDA ATOCHA 35,Madrid,-3.698589986849812,40.40596936645757,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2bd7c6d055f16910VgnVCM1000001d4a900aRCRD,"Niños,Familias",Ocio,ayuntamiento madrid,,7-8,7.0,8.0,False
12752207,Campamento del Price (9 y 10 años),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ebdb68a247f16910VgnVCM1000001d4a900aRCRD,,2025-06-23,,2025-07-18,,Teatro Circo Price,RONDA ATOCHA 35,Madrid,-3.698589986849812,40.40596936645757,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ebdb68a247f16910VgnVCM1000001d4a900aRCRD,"Niños,Familias",Ocio,ayuntamiento madrid,,9-10,9.0,10.0,False
12765048,Campamentos de verano 2025 para menores nacidos 2013-2021,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d886d2112286910VgnVCM1000001d4a900aRCRD,08:30,2025-06-23,,2025-08-29,,Colegio Público Martínez Montañés,CALLE HACIENDA DE PAVONES 223,Madrid,-3.633910360218752,40.40191354205018,"Dirigido a menores de 3 a 12 años (nacidos entre 2013 y 2021).   Las actividades se celebrarán en el CEIP MARTÍNEZ MONTAÑÉS (calle Hacienda de Pavones número 223) y en el exterior.     Horario: de 8:30 a 15:30 horas. Incluye la comida.   Se llevarán a cabo en 5 periodos durante los meses de junio, julio y agosto (se seleccionarán como máximo 3 periodos, indicando el orden de prioridad):    - 23 a 30 de junio (6 días laborables). - 1 a 15 de julio (11 días laborables). - 16 a 31 de julio (11 días laborables. El 25 es festivo). - 1 a 14 de agosto (10 días laborables). - 18 a 29 de agosto (10 días laborables).",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d886d2112286910VgnVCM1000001d4a900aRCRD,"Jovenes,Niños",Viajes,ayuntamiento madrid,,3-12,3.0,12.0,False
12762483,"CICLO BEBÉS. Teatro Tyl Tyl, presenta 'Tylito'",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d3ed2d8dae976910VgnVCM1000001d4a900aRCRD,11:00,2025-05-10,,2025-05-10,,Centro Cultural Príncipe de Asturias (Ciudad Lineal),CALLE HERMANOS GARCIA NOBLEJAS 14,Madrid,-3.6372924261150033,40.43644651057092,"Concierto teatralizado para un público activo en la percepción y la escucha, pero también en la participación de la primera infancia. El sonido, la música y las canciones impulsan el deseo de vivir la vida con intensidad y alegría. El repertorio es original y está construido a partir de la literatura oral y ritmos cercanos que inviten y contagien el movimiento.  Edad recomendada: De 0 a 3 años.   Duración: 2 pases de 40 minutos.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d3ed2d8dae976910VgnVCM1000001d4a900aRCRD,"Niños,Familias",Cine,ayuntamiento madrid,,0-3,0.0,3.0,True
12459042,Club de lectura (infantil) Biblioteca David Gistau,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0c4bf9ea99e61910VgnVCM2000001f4a900aRCRD,18:00,2024-09-30,,2025-06-09,,Biblioteca Pública Municipal David Gistau (Salamanca),AVENIDA TOREROS 5,Madrid,-3.670929243543714,40.43199309720514,"Una de nuestras actividades favoritas, dónde la lectura es la protagonista. En estos clubes de lectura un grupo de niñas y niños, leen al mismo tiempo un libro y periódicamente se reúnen para comentarlo y hacer un montón de actividades que hacen la lectura aún más divertida, combinando la lectura personal y la posibilidad de compartir la experiencia con otras personas, sin duda una fantástica manera para que los más pequeños de la casa adquirieran el hábito lector.  Dirigido a usuarios de 9 a 12 años.   Quincenal: el taller se desarrola los lunes alternos, de 18 a 19:30 horas en la biblioteca. Para participar es impresindible realizar inscripción previa en este enlace.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0c4bf9ea99e61910VgnVCM2000001f4a900aRCRD,Niños,Deportes,ayuntamiento madrid,,9-12,9.0,12.0,False
12459103,Club de lectura (infantil) Biblioteca María Lejárraga,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=03cbf9ea99e61910VgnVCM2000001f4a900aRCRD,18:00,2024-10-24,,2025-06-19,,Biblioteca Pública Municipal María Lejárraga (Hortaleza),CALLE PRINCESA DE EBOLI 29,Madrid,-3.655356751728003,40.49041562546542,"Una de nuestras actividades favoritas, dónde la lectura es la protagonista. En estos clubes de lectura un grupo de niñas y niños, leen al mismo tiempo un libro y periódicamente se reúnen para comentarlo y hacer un montón de actividades que hacen la lectura aún más divertida, combinando la lectura personal y la posibilidad de compartir la experiencia con otras personas, sin duda una fantástica manera para que los más pequeños de la casa adquirieran el hábito lector.  Dirigido a usuarios de 9 a 12 años.   Quincenal: el taller se desarrola los jueves alternos, de 18 a 19:30 horas en la biblioteca. Para participar es impresindible realizar inscripción previa en este enlace.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=03cbf9ea99e61910VgnVCM2000001f4a900aRCRD,Niños,Deportes,ayuntamiento madrid,,9-12,9.0,12.0,False
12564911,Club de lectura (infantil) Biblioteca San Fermín,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6304ee4e073b2910VgnVCM1000001d4a900aRCRD,18:00,2024-10-02,,2025-06-18,,Biblioteca Pública Municipal San Fermín (Usera),AVENIDA SAN FERMIN 10,Madrid,-3.692742821990015,40.3711623444796,"Una de nuestras actividades favoritas, dónde la lectura es la protagonista. En estos clubes de lectura un grupo de niñas y niños, leen al mismo tiempo un libro y periódicamente se reúnen para comentarlo y hacer un montón de actividades que hacen la lectura aún más divertida, combinando la lectura personal y la posibilidad de compartir la experiencia con otras personas, sin duda una fantástica manera para que los más pequeños de la casa adquirieran el hábito lector.  Dirigido a usuarios de 9 a 12 años.   Quincenal: el taller se desarrola los miércoles alternos, de 18 a 19:30 horas en la biblioteca. Para participar es impresindible realizar inscripción previa en este enlace.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6304ee4e073b2910VgnVCM1000001d4a900aRCRD,Niños,Deportes,ayuntamiento madrid,,9-12,9.0,12.0,False
12757032,Como perros y gatos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=375f045d2c756910VgnVCM2000001f4a900aRCRD,12:00,2025-05-18,,2025-05-18,,Centro Sociocultural Miguel de Cervantes (San Blas - Canillejas),CALLE ALIAGA 5,Madrid,-3.6113517282299217,40.4366557020283,"Con Cerilla y Cebolla   Recomendada a partir de 6 años   En este cuento basado en 'Miau y Guau', de Gloria Fuertes, nuestros entrañables personajes Cerilla y Cebolla, saldrán a pasear por una hostil jungla de asfalto: la ciudad; en la que no parece haber sitio para ellos. Buscando una salida, deciden ir a un parque para asomarse, por fin, a una ventana con vistas a la naturaleza.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=375f045d2c756910VgnVCM2000001f4a900aRCRD,"Niños,Familias",Ocio,ayuntamiento madrid,,+6,6.0,14.0,False
12702851,Concierto familiar: 'Loli Pop Rock',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=94b890ec79b45910VgnVCM2000001f4a900aRCRD,12:00,2025-05-10,,2025-05-10,,Centro Cultural La Vaguada (Fuencarral - El Pardo),AVENIDA MONFORTE DE LEMOS 38,Madrid,-3.709138377702435,40.47900813206291,"A cargo de la Cía. Tanalborde. ¡Un divertido concierto para toda la familia, con temas que harán que grandes y pequeños disfruten! Tres músicos profesionales tocan en directo guitarras, percusiones y vientos, acompañados de una actriz y clown.   Edad recomendada: Todos los públicos desde 2 años.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=94b890ec79b45910VgnVCM2000001f4a900aRCRD,"Niños,Familias",Ocio,ayuntamiento madrid,,2,2.0,2.0,False
12706843,Concierto pedagógico,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4872047fc5065910VgnVCM1000001d4a900aRCRD,18:30,2025-05-09,,2025-05-09,,Centro Cultural Federico Chueca (Hortaleza),CALLE BENITA AVILA 23,Madrid,-3.650585652034587,40.465513265035874,"Lily cuartet. A partir de 3 años. El cuarteto nos ofrecerá un especial repertorio musical dirigido a los niños a partir de 6 años, basado en obras conocidas de compositores europeos y como colofón el himno a la alegría en conmemoración del día de Europa.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4872047fc5065910VgnVCM1000001d4a900aRCRD,"Niños,Familias",Ocio,ayuntamiento madrid,,+3 | +6,3.0,14.0,False
12758840,Crea tus propios imanes para celebrar el Día Mundial de las aves Migratorias,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2473cbdaa1266910VgnVCM1000001d4a900aRCRD,10:30,2025-05-11,,2025-05-11,,Centro de Educación Ambiental y Cultural Maris Stella (Usera),CALLE DOCTOR TOLOSA LATOUR 16,Madrid,-3.7032220308808577,40.374166248648216,Horario: ﻿ de 10:30 a 12 horas.   Edad: Familias con niños y niñas a partir de 4 años (menores acompañados con un adulto). Imprescindible reserva previa.  Sinopsis: En este taller aprenderemos cuales son las aves que nos visitan en época estival y crearemos divertidos imanes que podremos poner en la puerta de la nevera.,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2473cbdaa1266910VgnVCM1000001d4a900aRCRD,Niños,Ocio,ayuntamiento madrid,,+4,4.0,14.0,False
12755203,Crossing,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a98dedac5936910VgnVCM2000001f4a900aRCRD,19:00,2025-05-17,,2025-05-17,,Centro Cultural Buero Vallejo (San Blas - Canillejas),CALLE BOLTAÑA 27,Madrid,-3.6129105844633775,40.44477474902185,"Director: Levan Akin   No recomendada para menores de 12 años.    Especialmente recomendada para el fomento de la igualdad de género    Lia, una profesora jubilada, ha prometido encontrar a su sobrina Tekla, perdida hace mucho tiempo. Su búsqueda la lleva a Estambul, donde conoce a Evrim, una abogada que lucha por los derechos de las transexuales, y Tekla empieza a sentirse más cerca que nunca.",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a98dedac5936910VgnVCM2000001f4a900aRCRD,Familias,Ocio,ayuntamiento madrid,,12,12.0,12.0,False
12625298,Cuentacuentos con pictogramas: Miau miau,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=089465783d9d3910VgnVCM1000001d4a900aRCRD,12:00,2025-05-24,,2025-05-24,,Centro Sociocultural Rafael de León (Fuencarral - El Pardo),CALLE ISLA DE ONS 14,Madrid,-3.7214686777952974,40.48025613358832,A cargo de Israel Hergón. Los gatos son muy independientes. ¿Te animas a descubrir sus secretos mejor guardados? Edad recomendada: desde 4 años.,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=089465783d9d3910VgnVCM1000001d4a900aRCRD,"Niños,Familias",Ocio,ayuntamiento madrid,,4,4.0,4.0,False
